Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,target
2,0.21,3,1,2,59.8,61.0,3.89,3.84,2.31,0
4,0.29,3,5,5,62.4,58.0,4.2,4.23,2.63,0
5,0.31,1,6,3,63.3,58.0,4.34,4.35,2.75,0
6,0.24,4,6,7,62.8,57.0,3.94,3.96,2.48,0
7,0.24,4,5,6,62.3,57.0,3.95,3.98,2.47,0
9,0.22,0,1,5,65.1,61.0,3.87,3.78,2.49,0
11,0.3,1,6,2,64.0,55.0,4.25,4.28,2.73,0
13,0.22,3,2,2,60.4,61.0,3.88,3.84,2.33,0
14,0.31,2,6,3,62.2,54.0,4.35,4.37,2.71,0
15,0.2,3,1,3,60.2,62.0,3.79,3.75,2.27,0
16,0.32,3,1,0,60.9,58.0,4.38,4.42,2.68,0
17,0.3,2,5,3,62.0,54.0,4.31,4.34,2.68,0
18,0.3,1,6,2,63.4,54.0,4.23,4.29,2.7,0
19,0.3,1,6,2,63.8,56.0,4.23,4.26,2.71,0
20,0.3,4,6,2,62.7,59.0,4.21,4.27,2.66,0
21,0.3,1,5,3,63.3,56.0,4.26,4.3,2.71,0
24,0.31,4,6,2,59.4,62.0,4.39,4.43,2.62,0
25,0.31,4,6,2,58.1,62.0,4.44,4.47,2.59,0
27,0.24,3,5,4,62.5,57.0,3.97,3.94,2.47,0
28,0.3,4,6,5,62.2,57.0,4.28,4.3,2.67,0
38,0.31,1,4,2,64.0,54.0,4.29,4.31,2.75,0
40,0.33,2,5,3,61.8,55.0,4.49,4.51,2.78,0
41,0.33,2,5,3,61.2,56.0,4.49,4.5,2.75,0
42,0.33,2,6,2,61.1,56.0,4.49,4.55,2.76,0
45,0.32,1,4,3,63.1,56.0,4.34,4.37,2.75,0
46,0.29,3,2,2,62.4,58.0,4.24,4.26,2.65,0
47,0.32,4,4,3,61.8,55.0,4.35,4.42,2.71,0
48,0.32,1,4,3,63.8,56.0,4.36,4.38,2.79,0
49,0.25,4,1,5,63.3,60.0,4.0,4.03,2.54,0
50,0.29,4,4,3,60.7,60.0,4.33,4.37,2.64,0
51,0.24,4,2,2,60.9,61.0,4.02,4.03,2.45,0
53,0.32,2,5,2,60.9,55.0,4.45,4.48,2.72,0
54,0.22,3,1,5,61.6,58.0,3.93,3.89,2.41,0
55,0.22,3,0,5,59.3,62.0,3.91,3.88,2.31,0
56,0.3,2,5,3,61.0,59.0,4.3,4.33,2.63,0
57,0.3,3,6,3,59.3,61.0,4.43,4.38,2.61,0
58,0.3,4,5,2,62.6,57.0,4.25,4.28,2.67,0
59,0.3,4,5,2,63.0,57.0,4.28,4.32,2.71,0
60,0.3,1,5,2,63.2,55.0,4.25,4.29,2.7,0
61,0.35,2,5,4,60.9,57.0,4.54,4.59,2.78,0
62,0.3,3,0,2,62.6,59.0,4.23,4.27,2.66,0
63,0.3,2,0,2,62.5,57.0,4.29,4.32,2.69,0
64,0.3,2,0,2,62.1,56.0,4.3,4.33,2.68,0
65,0.42,3,5,3,61.5,59.0,4.78,4.84,2.96,0
66,0.28,2,3,7,61.4,56.0,4.19,4.22,2.58,0
67,0.32,2,5,6,62.0,55.3,4.39,4.42,2.73,0
68,0.31,4,3,2,63.3,57.0,4.33,4.3,2.73,0
69,0.31,3,3,2,61.8,58.0,4.35,4.32,2.68,0
70,0.24,3,1,6,60.7,58.0,4.01,4.03,2.44,0
71,0.24,4,0,6,61.5,60.0,3.97,4.0,2.45,0
72,0.3,4,4,2,63.1,56.0,4.29,4.27,2.7,0
73,0.3,3,4,2,62.9,59.0,4.28,4.24,2.68,0
74,0.3,3,4,2,62.5,57.0,4.29,4.25,2.67,0
75,0.3,1,4,2,63.7,57.0,4.28,4.26,2.72,0
84,0.38,2,5,3,61.6,56.0,4.65,4.67,2.87,0
86,0.24,3,3,6,62.3,59.0,3.95,3.92,2.45,0
87,0.24,3,4,6,61.2,58.0,4.01,3.96,2.44,0
88,0.24,3,4,6,60.8,59.0,4.02,4.0,2.44,0
89,0.24,3,4,7,60.7,58.0,4.07,4.04,2.46,0
90,0.32,3,5,2,62.9,58.0,4.35,4.33,2.73,0
92,0.86,0,1,3,55.1,69.0,6.45,6.33,3.52,0
94,0.71,4,1,5,62.4,57.0,5.68,5.73,3.56,0
95,0.78,4,3,3,63.8,56.0,5.81,5.85,3.72,0
98,0.96,0,2,3,66.3,62.0,6.27,5.95,4.07,0
99,0.73,4,1,2,61.6,59.0,5.77,5.78,3.56,0
100,0.8,3,4,2,61.5,58.0,5.97,5.93,3.66,0
101,0.75,4,0,2,63.2,56.0,5.8,5.75,3.65,0
102,0.75,3,1,2,59.9,54.0,6.0,5.96,3.58,0
103,0.74,2,3,2,61.6,55.0,5.8,5.85,3.59,0
104,0.75,3,3,5,61.7,58.0,5.85,5.79,3.59,0
105,0.8,2,5,4,62.9,56.0,5.94,5.87,3.72,0
106,0.75,2,3,2,62.2,55.0,5.87,5.8,3.63,0
107,0.8,3,3,2,63.0,59.0,5.9,5.81,3.69,0
108,0.74,2,5,7,62.3,55.0,5.77,5.81,3.61,0
109,0.81,2,2,3,58.8,57.0,6.14,6.11,3.6,0
110,0.59,2,1,7,62.0,55.0,5.38,5.43,3.35,0
111,0.8,2,2,3,61.4,57.0,5.96,6.0,3.67,0
112,0.74,2,1,3,62.2,56.0,5.8,5.84,3.62,0
113,0.9,3,5,5,63.0,58.0,6.16,6.12,3.87,0
